Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,sustain_app__ConsumptionReport__c,sustain_app__EnergyConsumption__c,sustain_app__EUR_Is_Locked__c,sustain_app__Is_Locked__c,sustain_app__UniqueInventoryId__c
a031h000002p8eKAAQ,,CFR-000000000,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfCEAW,,,a041h000006OxOcAAKa0C1h000004RUfCEAW
a031h000002p8eLAAQ,,CFR-000000001,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfDEAW,,,a041h000006OxOcAAKa0C1h000004RUfDEAW
a031h000002p8eMAAQ,,CFR-000000002,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfEEAW,,,a041h000006OxOcAAKa0C1h000004RUfEEAW
a031h000002p8eNAAQ,,CFR-000000003,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfFEAW,,,a041h000006OxOcAAKa0C1h000004RUfFEAW
a031h000002p8eOAAQ,,CFR-000000004,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfGEAW,,,a041h000006OxOcAAKa0C1h000004RUfGEAW
a031h000002p8ePAAQ,,CFR-000000005,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfHEAW,,,a041h000006OxOcAAKa0C1h000004RUfHEAW
a031h000002p8eQAAQ,,CFR-000000006,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfIEAW,,,a041h000006OxOcAAKa0C1h000004RUfIEAW
a031h000002p8eRAAQ,,CFR-000000007,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfJEAW,,,a041h000006OxOcAAKa0C1h000004RUfJEAW
a031h000002p8eSAAQ,,CFR-000000008,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfKEAW,,,a041h000006OxOcAAKa0C1h000004RUfKEAW
a031h000002p8eTAAQ,,CFR-000000009,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfLEAW,,,a041h000006OxOcAAKa0C1h000004RUfLEAW
a031h000002p8eUAAQ,,CFR-000000010,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfMEAW,,,a041h000006OxOcAAKa0C1h000004RUfMEAW
a031h000002p8eVAAQ,,CFR-000000011,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfNEAW,,,a041h000006OxOcAAKa0C1h000004RUfNEAW
a031h000002p8eWAAQ,,CFR-000000012,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfOEAW,,,a041h000006OxOcAAKa0C1h000004RUfOEAW
a031h000002p8eXAAQ,,CFR-000000013,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfPEAW,,,a041h000006OxOcAAKa0C1h000004RUfPEAW
a031h000002p8eYAAQ,,CFR-000000014,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfQEAW,,,a041h000006OxOcAAKa0C1h000004RUfQEAW
a031h000002p8eZAAQ,,CFR-000000015,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfREAW,,,a041h000006OxOcAAKa0C1h000004RUfREAW
a031h000002p8eaAAA,,CFR-000000016,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfSEAW,,,a041h000006OxOcAAKa0C1h000004RUfSEAW
a031h000002p8ebAAA,,CFR-000000017,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,0051h0000064LyPAAU,2021-03-29T18:33:48.000+0000,a041h000006OxOcAAK,a0C1h000004RUfTEAW,,,a041h000006OxOcAAKa0C1h000004RUfTEAW
