Id,OwnerId,IsDeleted,Name,RecordTypeId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,sustain_app__AMER_Taxi_Limousine_Rate_Mile__c,sustain_app__AMER_Train_Rate_Mile__c,sustain_app__APAC_Taxi_Limousine_Rate_Mile__c,sustain_app__APAC_Train_Rate_Mile__c,sustain_app__Calendar_Year__c,sustain_app__Company_Shuttle__c,sustain_app__Currency__c,sustain_app__Data_Source__c,sustain_app__Description__c,sustain_app__Distance_Unit__c,sustain_app__EMEA_Taxi_Limousine_Rate_Mile__c,sustain_app__EMEA_Train_Rate_Mile__c,sustain_app__EconomicSectorCategory__c,sustain_app__EconomicSectorCode__c,sustain_app__EconomicSector__c,sustain_app__EmissionFactorScope3Dataset__c,sustain_app__Emission_Factor_Update_Year__c,sustain_app__Emission_Factors_Other__c,sustain_app__Fuel_Efficiency_Unit__c,sustain_app__Fuel_Efficiency_Value__c,sustain_app__Fuel_Efficiency_Value_mpg__c,sustain_app__GWP_CH4__c,sustain_app__GWP_N2O__c,sustain_app__GhgScope3Category__c,sustain_app__HS_Australia__c,sustain_app__HS_Austria__c,sustain_app__HS_Canada__c,sustain_app__HS_Caribbean_Region__c,sustain_app__HS_China_Hong_Kong__c,sustain_app__HS_China__c,sustain_app__HS_France__c,sustain_app__HS_Germany_Southern_Region__c,sustain_app__HS_Germany__c,sustain_app__HS_India__c,sustain_app__HS_Indonesia__c,sustain_app__HS_International__c,sustain_app__HS_Japan__c,sustain_app__HS_Malaysia__c,sustain_app__HS_Mexico__c,sustain_app__HS_Russian_Federation__c,sustain_app__HS_Saudi_Arabia__c,sustain_app__HS_Singapore__c,sustain_app__HS_South_Korea__c,sustain_app__HS_Spain__c,sustain_app__HS_Switzerland__c,sustain_app__HS_Thailand__c,sustain_app__HS_Turkey__c,sustain_app__HS_UK_London__c,sustain_app__HS_UK_Other__c,sustain_app__HS_Vietnam__c,sustain_app__Hotel_Stay_Factor__c,sustain_app__Hotel_Stay__c,sustain_app__Maximum_Flight_Length_Medium_Haul__c,sustain_app__Maximum_Flight_Length_Short_Haul__c,sustain_app__Minimum_Flight_Length_Long_Haul__c,sustain_app__Personal_Car_DEFRA__c,sustain_app__Personal_Car_EPA__c,sustain_app__Personal_Car_kg_CO2e_per_Distance__c,sustain_app__Personal_Car_kg_CO2e_per_Mile__c,sustain_app__Shuttle_Diesel_Emission_Factor_gCH4_Mile__c,sustain_app__Shuttle_Diesel_Emission_Factor_gN2O_Mile__c,sustain_app__Taxi_Limo_Rate_Cost_per_Distance__c,sustain_app__Taxi_Limo_Rate_Cost_per_Mile__c,sustain_app__Taxi_Limo_kg_CO2e_per_Distance__c,sustain_app__Taxi_Limo_kg_CO2e_per_Mile__c,sustain_app__Taxi_Limousine_DEFRA__c,sustain_app__Taxi_Limousine_EPA__c,sustain_app__Total_tCO2e_per_Million__c,sustain_app__Train_DEFRA__c,sustain_app__Train_EPA__c,sustain_app__Train_Rate_Cost_per_Distance__c,sustain_app__Train_Rate_Cost_per_Mile__c,sustain_app__Train_kg_CO2e_per_Distance__c,sustain_app__Train_kg_CO2e_per_Mile__c,sustain_app__kgCO2_Pass_Km_Long_Haul__c,sustain_app__kgCO2_Pass_Km_Medium_Haul__c,sustain_app__kgCO2_Pass_Km_Short_Haul__c,sustain_app__kgCO2_Pass_Mile_Long_Haul__c,sustain_app__kgCO2_Pass_Mile_Medium_Haul__c,sustain_app__kgCO2_Pass_Mile_Short_Haul__c,sustain_app__kgCO2e_Pass_Km_CH4_Long_Haul__c,sustain_app__kgCO2e_Pass_Km_CH4_Medium_Haul__c,sustain_app__kgCO2e_Pass_Km_CH4_Short_Haul__c,sustain_app__kgCO2e_Pass_Km_N2O_Long_Haul__c,sustain_app__kgCO2e_Pass_Km_N2O_Medium_Haul__c,sustain_app__kgCO2e_Pass_Km_N2O_Short_Haul__c,sustain_app__kgCO2e_Pass_Mile_CH4_Long_Haul__c,sustain_app__kgCO2e_Pass_Mile_CH4_Medium_Haul__c,sustain_app__kgCO2e_Pass_Mile_CH4_Short_Haul__c,sustain_app__kgCO2e_Pass_Mile_N2O_Long_Haul__c,sustain_app__kgCO2e_Pass_Mile_N2O_Medium_Haul__c,sustain_app__kgCO2e_Pass_Mile_N2O_Short_Haul__c
a0B1h000003NMOIEA4,0051h0000064LyPAAU,,Scope 3 Travel Factors,0121h000001lj5ZAAQ,2021-03-29T18:32:52.000+0000,0051h0000064LyPAAU,2021-03-29T18:32:52.000+0000,0051h0000064LyPAAU,2021-03-29T18:32:52.000+0000,,,,2,0.25,2,0.25,2020,10.21,USD,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting; https://www.epa.gov/sites/production/files/2018-03/documents/emission-factors_mar_2018_0.pdf; https://www.epa.gov/sites/production/files/2018-03/documents/emission-factors_mar_2018_0.pdf,,Kilometers,7.21,0.21,,,,,2018,,,,,,,,54.2,17.6,31.9,83.9,94.9,82.4,9.9,26.2,27.7,106.8,85.6,63.4,60.1,64.9,61,51,180.8,37.9,83,45,9.3,55.7,67.3,29.4,31.1,43.4,,36.4,,,,0.29881,0.34675,,0,0.0051,0.0048,,0,,0,0.347,0.433,,0.06,0.14,,0,,0,,,,0.166,0.136,0.225,,,,,,,0.0006,0.0006,0.0039,0.0053,0.0043,0.0072
a0B1h000003NMNdEAO,0051h0000064MckAAE,,Czech Republic,0121h000001lj5XAAQ,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,,,,,,,,2020,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
a0B1h000003NMNtEAO,0051h0000064MckAAE,,Panama,0121h000001lj5XAAQ,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,,,,,,,,2020,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
a0B1h000003NMNuEAO,0051h0000064MckAAE,,Philippines,0121h000001lj5XAAQ,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,,,,,,,,2020,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
a0B1h000003NMNvEAO,0051h0000064MckAAE,,Poland,0121h000001lj5XAAQ,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,,,,,,,,2020,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
a0B1h000003NMNwEAO,0051h0000064MckAAE,,Portugal,0121h000001lj5XAAQ,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,,,,,,,,2020,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
a0B1h000003NMNxEAO,0051h0000064MckAAE,,Qatar,0121h000001lj5XAAQ,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,,,,,,,,2020,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.3,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
a0B1h000003NMNyEAO,0051h0000064MckAAE,,Russian Federation,0121h000001lj5XAAQ,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,,,,,,,,2020,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
a0B1h000003NMNzEAO,0051h0000064MckAAE,,Saudi Arabia,0121h000001lj5XAAQ,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,,,,,,,,2020,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
a0B1h000003NMO0EAO,0051h0000064MckAAE,,Singapore,0121h000001lj5XAAQ,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,0051h0000064MckAAE,2021-03-29T18:30:16.000+0000,,,,,,,,2020,,USD,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2019,,Kilometers,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,,,,,,,,0,,,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,
